SerialNumber,y_debt,PC1_score_raw,PC1_score_oriented,PC2_score_raw,PC2_score_oriented,PC3_score_raw,PC3_score_oriented,PC4_score_raw,PC4_score_oriented
93,0,-4.661804981732825,-4.661804981732825,-0.43330613503118404,0.43330613503118404,-2.7737814896817263,2.7737814896817263,-1.8951142832459797,1.8951142832459797
94,0,0.008242399414736987,0.008242399414736987,-2.4510402695213918,2.4510402695213918,-3.7457174000976563,3.7457174000976563,2.690283825004269,-2.690283825004269
95,0,-9.448396614774015,-9.448396614774015,6.0062420269912895,-6.0062420269912895,-4.747115014273119,4.747115014273119,-0.19408372853252925,0.19408372853252925
96,1,-2.2495340208829355,-2.2495340208829355,3.523844782549967,-3.523844782549967,-0.1037145264876567,0.1037145264876567,0.7031528225813088,-0.7031528225813088
97,0,-8.843961064622238,-8.843961064622238,4.2193552359900135,-4.2193552359900135,-3.082513563747206,3.082513563747206,-1.5336588885531501,1.5336588885531501
98,0,-7.667931607051655,-7.667931607051655,0.7212055233574508,-0.7212055233574508,-1.593454097797042,1.593454097797042,-3.5649382610524656,3.5649382610524656
99,0,-7.694849679363706,-7.694849679363706,1.9116761227079435,-1.9116761227079435,-6.561118555086848,6.561118555086848,-0.5289366596578745,0.5289366596578745
100,0,-0.10054274154970944,-0.10054274154970944,1.0289972759326502,-1.0289972759326502,0.7401432433282049,-0.7401432433282049,0.5887653496138623,-0.5887653496138623
101,0,4.4490615678191245,4.4490615678191245,2.813076214187941,-2.813076214187941,0.19041785932760785,-0.19041785932760785,-0.1558818881752068,0.1558818881752068
102,0,-8.803533157121665,-8.803533157121665,3.628248512977747,-3.628248512977747,-3.428626439818506,3.428626439818506,-2.2802124870391784,2.2802124870391784
103,0,-1.2156531285257257,-1.2156531285257257,1.7058943874789692,-1.7058943874789692,-0.36411820012878715,0.36411820012878715,1.5978376079645422,-1.5978376079645422
104,0,-10.12224293352201,-10.12224293352201,4.784591072747481,-4.784591072747481,-5.084667138652769,5.084667138652769,0.5377182180274267,-0.5377182180274267
105,0,-0.843999791295772,-0.843999791295772,0.9053302348863477,-0.9053302348863477,-7.737328200296944,7.737328200296944,4.940728377183842,-4.940728377183842
106,0,0.08105606908088249,0.08105606908088249,5.225587040308545,-5.225587040308545,0.5983862018364023,-0.5983862018364023,1.7248154152186768,-1.7248154152186768
107,0,-6.657161651083706,-6.657161651083706,-0.26050383747744726,0.26050383747744726,-3.00814600033663,3.00814600033663,-3.474114773972835,3.474114773972835
108,0,-7.685039767837827,-7.685039767837827,4.723009784860629,-4.723009784860629,-3.3324181703959126,3.3324181703959126,-1.4144037765609268,1.4144037765609268
109,0,-6.809413732715669,-6.809413732715669,1.9867571976390952,-1.9867571976390952,-4.905183219591824,4.905183219591824,-0.7174154520458857,0.7174154520458857
110,0,0.8004906550754923,0.8004906550754923,-2.7276604069735337,2.7276604069735337,4.5177044915794395,-4.5177044915794395,-1.6823427028318685,1.6823427028318685
111,0,-2.0479304146254242,-2.0479304146254242,5.333209768058341,-5.333209768058341,-1.0960453500344869,1.0960453500344869,4.295389157070946,-4.295389157070946
112,1,8.010493318977215,8.010493318977215,5.297656281939809,-5.297656281939809,1.642878562445952,-1.642878562445952,-1.8055486497822681,1.8055486497822681
113,0,-3.393193564479569,-3.393193564479569,-2.9592351461271598,2.9592351461271598,-0.1041994116107174,0.1041994116107174,-4.632061670574284,4.632061670574284
114,0,-6.005919071701965,-6.005919071701965,0.5861610325973307,-0.5861610325973307,-2.610355138242145,2.610355138242145,-3.4436392379361638,3.4436392379361638
115,0,-9.391077396030788,-9.391077396030788,3.624825589596876,-3.624825589596876,-2.573190485279618,2.573190485279618,-1.2821917990271647,1.2821917990271647
116,0,-9.233294886561662,-9.233294886561662,2.4537313662595976,-2.4537313662595976,-3.733901576131686,3.733901576131686,-1.7917821991758913,1.7917821991758913
117,0,-7.12528007523159,-7.12528007523159,2.748190182357325,-2.748190182357325,-3.676396373777386,3.676396373777386,-0.9067368474646009,0.9067368474646009
118,0,-2.271039092330924,-2.271039092330924,-2.0808388755583183,2.0808388755583183,3.5232725810974825,-3.5232725810974825,3.608371286811769,-3.608371286811769
119,0,-0.4711595626833263,-0.4711595626833263,-3.0133531999994867,3.0133531999994867,-2.8111689886867874,2.8111689886867874,-4.787118155718889,4.787118155718889
120,0,5.249496284046278,5.249496284046278,-6.440714945172005,6.440714945172005,-5.728946514450928,5.728946514450928,-4.1026776328515995,4.1026776328515995
